Country,Emissions
Qatar,37.02
New Caledonia,30.45
Mongolia,26.98
Trinidad and Tobago,25.37
Brunei Darussalam,23.22
Kuwait,20.83
Bahrain,20.55
Curaçao,20.32
Saudi Arabia,17.97
Kazakhstan,15.52
Australia,15.37
United Arab Emirates,15.19
United States,14.24
Canada,14.2
Faeroe Islands,14
Luxembourg,13.06
Turkmenistan,12.49
Oman,12.17
Palau,12.12
South Korea,11.66
Bonaire Saint Eustatius and Saba,11.47
Russia,10.81
Bermuda,10.03
Greenland,9.06
Iran,8.87
Saint Pierre and Miquelon,8.74
Iceland,8.6
Malaysia,8.42
Anguilla,8.23
Czechia,8.22
Japan,8.15
Netherlands,8.06
Poland,7.92
Estonia,7.88
Singapore,7.78
Germany,7.69
South Africa,7.62
Norway,7.62
China,7.41
Libya,7.38
Equatorial Guinea,7.32
Belgium,7.23
Finland,7.09
Aruba,7.05
Niue,6.98
New Zealand,6.94
Ireland,6.75
Austria,6.73
Bosnia and Herzegovina,6.53
Israel,6.51
Guadeloupe,6.4
Martinique,6.26
Belarus,6.08
Slovenia,6.04
Andorra,6.03
Bahamas,5.94
Slovakia,5.63
Bulgaria,5.39
Cyprus,5.38
Nauru,5.24
Iraq,5.24
Turks and Caicos Islands,5.23
Montserrat,5.07
Lithuania,5.07
Italy,5.02
Greece,5.01
Hungary,5
Seychelles,4.99
Serbia,4.94
Ukraine,4.89
United Kingdom,4.85
Turkey,4.66
Laos,4.65
British Virgin Islands,4.61
Cook Islands,4.52
Denmark,4.52
Spain,4.47
Antigua and Barbuda,4.4
Chile,4.25
France,4.24
Croatia,4.14
Saint Kitts and Nevis,3.99
Portugal,3.96
Sweden,3.83
Lebanon,3.8
Suriname,3.79
Barbados,3.78
Switzerland,3.73
Romania,3.72
Azerbaijan,3.72
Liechtenstein,3.7
Thailand,3.69
Montenegro,3.68
Malta,3.61
Latvia,3.59
Algeria,3.53
Argentina,3.47
North Macedonia,3.43
Uzbekistan,3.37
Maldives,3.32
Mauritius,3.13
Venezuela,2.98
French Polynesia,2.95
Guyana,2.81
Mexico,2.77
Botswana,2.77
Grenada,2.62
Vietnam,2.61
Dominican Republic,2.56
Marshall Islands,2.56
Jamaica,2.51
Bhutan,2.5
Georgia,2.5
Panama,2.5
Jordan,2.5
French Guiana,2.44
Saint Lucia,2.4
Tunisia,2.38
Wallis and Futuna Islands,2.36
Brazil,2.2
Indonesia,2.16
Egypt,2.09
Armenia,1.99
Macao,1.94
Dominica,1.93
Gabon,1.93
Saint Vincent and the Grenadines,1.88
Cuba,1.78
India,1.77
Bolivia,1.77
Kyrgyzstan,1.76
Morocco,1.75
Ecuador,1.75
Colombia,1.75
Syria,1.74
Uruguay,1.68
Albania,1.58
Saint Helena,1.56
Costa Rica,1.55
Fiji,1.55
Namibia,1.53
Belize,1.47
Tonga,1.36
Peru,1.36
Moldova,1.28
Philippines,1.24
Samoa,1.24
North Korea,1.14
Paraguay,1.06
Guatemala,1.06
Pakistan,1.06
Lesotho,1.02
Cape Verde,0.99
Tajikistan,0.99
Sri Lanka,0.99
Honduras,0.98
El Salvador,0.94
Cambodia,0.92
Swaziland,0.82
Nicaragua,0.77
Papua New Guinea,0.74
Mauritania,0.73
Zimbabwe,0.71
Angola,0.68
Myanmar,0.67
Tuvalu,0.64
Senegal,0.62
Nigeria,0.61
Vanuatu,0.59
Nepal,0.58
Kiribati,0.57
Congo,0.56
Bangladesh,0.56
Benin,0.55
Sao Tome and Principe,0.51
Ghana,0.51
Sudan,0.43
Solomon Islands,0.43
Timor-Leste,0.4
Côte d'Ivoire,0.38
Djibouti,0.36
Zambia,0.36
Yemen,0.33
Afghanistan,0.31
Comoros,0.3
Kenya,0.3
Cameroon,0.26
Haiti,0.26
Togo,0.26
Guinea,0.26
Mozambique,0.21
Gambia,0.21
Liberia,0.2
Eritrea,0.2
Burkina Faso,0.19
Tanzania,0.18
Mali,0.17
Guinea-Bissau,0.15
Ethiopia,0.13
Madagascar,0.13
Sierra Leone,0.11
Uganda,0.11
South Sudan,0.11
Rwanda,0.08
Malawi,0.07
Niger,0.07
Chad,0.06
Burundi,0.05
Somalia,0.04
Central African Republic,0.04
DR Congo,0.03